[2019-12-17 10:20:42]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 32
[2019-12-17 10:20:43]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 19
[2019-12-17 10:20:43]:  Undefined index: email in /home/vagrant/code/mvc/src/Session.php on line 38
[2019-12-17 10:20:43]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 32
[2019-12-17 10:20:44]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'src\controllers\StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/src/components/Router.php on line 63
[2019-12-17 10:20:44]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 48
[2019-12-17 10:20:44]:  Undefined index: email in /home/vagrant/code/mvc/src/Session.php on line 38
[2019-12-17 10:20:44]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 58
[2019-12-17 10:20:44]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 19
[2019-12-17 10:20:44]:  Undefined index: email in /home/vagrant/code/mvc/src/Session.php on line 38
[2019-12-17 10:20:44]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 32
[2019-12-17 10:20:49]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'src\controllers\StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/src/components/Router.php on line 63
[2019-12-17 10:20:49]:  Undefined variable: wrongInfo in /home/vagrant/code/mvc/views/main/login.php on line 6
[2019-12-17 10:20:49]:  Undefined variable: wrongEmail in /home/vagrant/code/mvc/views/main/login.php on line 6
[2019-12-17 10:20:49]:  Undefined variable: wrongPassword in /home/vagrant/code/mvc/views/main/login.php on line 6
[2019-12-17 10:20:52]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'src\controllers\StorageController' does not have a method 'get_products_listestorage' in /home/vagrant/code/mvc/src/components/Router.php on line 63
[2019-12-17 10:20:52]:  Undefined index: email in /home/vagrant/code/mvc/src/controllers/AuthorizationController.php on line 28
[2019-12-17 10:20:54]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 19
[2019-12-17 10:20:54]:  Undefined variable: catch in /home/vagrant/code/mvc/src/controllers/StorageController.php on line 32
